fiscalYear;period;catAccountingView;catFinancialView;revenue;otherIncome;grossMargin;operatingExpenses;operatingProfit;FinancialResult;EarningsBeforeTax;nonRecurringResult;netProfit
2017;201710;Charges;Financier;811581.46;6680.1;397398.95;181977.82;327840.45;-849.67;13390.61;11211.21;77046.86
2023;202301;Immobilisations;Exceptionnel;886521.84;20972.4;473342.88;54935.49;316197.76;-4819.19;291245.46;12176.24;213216.91
2018;201803;Charges;Opérationnel;685430.65;17424.42;192184.19;52200.77;201946.81;-2139.92;46884.89;-2992.21;130318.03
2015;201511;Immobilisations;Opérationnel;883833.74;18312.72;410507.05;171271.44;280068.02;15240.89;145151.36;9040.74;247779.06
2017;201704;Trésorerie;Opérationnel;524118.06;6400.74;416518.39;223481.13;186190.24;15115.26;216260.06;-2871.23;80538.01
2023;202308;Produits;Exceptionnel;199269.18;14859.92;59374.89;94761.02;273596.53;17172.67;33966.56;1279.7;173726.26
2023;202304;Immobilisations;Financier;844185.55;35516.46;155729.29;20590.0;373490.51;18892.14;82898.15;12806.39;210513.21
2019;201906;Produits;Financier;901237.07;46248.88;180605.42;165142.86;205066.09;18204.16;248484.36;-1595.6;241641.54
2019;201910;Charges;Non opérationnel;780746.82;13132.12;124733.71;291840.03;16436.89;13125.62;194001.55;12662.31;7940.71
2022;202207;Immobilisations;Exceptionnel;477766.32;6108.95;79501.8;234250.18;95877.05;-2108.03;29218.99;3017.56;5787.57
2020;202004;Charges;Exceptionnel;944105.52;26496.37;147630.06;46130.95;91297.1;4285.75;259091.46;4657.16;194294.65
2022;202208;Produits;Non opérationnel;403537.09;22745.55;180242.31;279928.84;382661.39;-3904.68;288725.12;8232.11;75682.27
2018;201808;Charges;Financier;585347.15;11905.92;338914.58;49880.56;134748.62;906.5;201049.59;12929.49;27538.38
2017;201704;Produits;Exceptionnel;188799.89;14376.23;62322.81;165833.84;315474.85;4512.42;245503.45;7484.95;38086.88
2023;202302;Immobilisations;Financier;493376.13;49010.62;316677.09;60178.66;286591.13;11632.88;220173.09;8644.37;225886.13
2024;202408;Produits;Financier;879172.5;26701.32;155107.59;187539.11;67967.49;471.01;22247.55;12558.91;128247.23
2020;202002;Charges;Exceptionnel;193792.24;34152.73;263742.66;283053.73;217255.63;6218.46;236910.78;-4436.01;101380.06
2020;202010;Produits;Non opérationnel;899051.45;36731.96;420332.7;250027.72;73385.63;7841.51;196924.64;-784.2;104294.49
2017;201709;Produits;Non opérationnel;964914.68;12302.79;120393.05;230277.9;357006.29;17683.65;91339.54;4359.01;87868.48
2018;201810;Charges;Opérationnel;658977.59;41074.37;201056.52;195179.87;239031.23;5333.85;99776.44;-1034.88;207032.16
2023;202312;Charges;Non opérationnel;921253.55;12413.07;162045.07;163958.04;197794.13;-7145.97;159725.32;14251.72;167563.57
2018;201804;Trésorerie;Opérationnel;128301.05;17470.21;149494.12;232546.88;120048.13;-4695.61;67650.95;1177.6;206739.68
2018;201808;Produits;Opérationnel;209753.72;14151.05;299810.84;282151.04;182287.54;587.23;286592.85;-1822.26;170670.24
2023;202309;Charges;Non opérationnel;249218.52;3382.7;494626.58;269008.17;226475.53;1317.94;113905.69;2823.18;218536.09
2015;201509;Immobilisations;Non opérationnel;277005.05;40097.93;452832.16;84842.54;335757.53;13706.86;120012.41;4838.19;208661.83
2019;201902;Produits;Financier;333907.27;29448.25;206878.46;114554.84;44422.62;-8516.45;256687.53;1054.24;157398.04
2024;202412;Trésorerie;Exceptionnel;683540.9;7828.82;107875.25;55532.65;147894.38;3579.52;46859.88;10721.05;106555.99
2020;202009;Produits;Non opérationnel;456374.06;42447.09;396558.64;260500.91;319736.03;2108.66;282156.34;-253.22;214523.34
2024;202410;Produits;Financier;927353.95;9015.13;95247.11;288993.52;358134.78;-7605.26;63582.71;3531.26;155854.85
2023;202310;Charges;Opérationnel;713418.97;2907.15;180252.46;162378.48;27644.53;6869.31;83594.17;8219.45;108287.54
